n,k_true,epsilon,scheme,delta_used,eta,seed,ari,count_max_pred,count_max_true,count_mae_max,count_total_pred,count_total_true,count_mae_total,n_clusters_found,elapsed_sec
500,4,10,fixed-2,2,0.20454545454545453,0,0.5510874150556087,321,159,162,500,475,25,18,0.0093
500,4,10,fixed-3,3,0.3181818181818181,0,0.8937666216085582,157,159,2,500,475,25,44,0.0085
500,4,10,fixed-5,5,0.5454545454545454,0,0.4757333135170511,111,159,48,500,475,25,208,0.0083
500,4,10,fixed-7,7,0.7727272727272726,0,0.17187916968315659,72,159,87,500,475,25,336,0.0085
500,4,10,adaptive-a0.30,2,0.20454545454545453,0,0.5510874150556087,321,159,162,500,475,25,18,0.009
500,4,10,adaptive-a0.40,3,0.3181818181818181,0,0.8937666216085582,157,159,2,500,475,25,44,0.0087
500,4,10,adaptive-a0.50,4,0.43181818181818177,0,0.7241179598707167,143,159,16,500,475,25,110,0.0129
500,4,10,fixed-1,1,0.09090909090909091,1,0.01778919571270433,493,159,334,500,475,25,8,0.0097
500,4,10,fixed-2,2,0.20454545454545453,1,0.9501900535025105,165,159,6,500,475,25,19,0.0091
500,4,10,fixed-3,3,0.3181818181818181,1,0.8628236097733,155,159,4,500,475,25,62,0.0092
500,4,10,fixed-5,5,0.5454545454545454,1,0.41290867949627375,106,159,53,500,475,25,225,0.0087
500,4,10,fixed-7,7,0.7727272727272726,1,0.10869903828342951,58,159,101,500,475,25,368,0.0086
500,4,10,adaptive-a0.30,2,0.20454545454545453,1,0.9501900535025105,165,159,6,500,475,25,19,0.0095
500,4,10,adaptive-a0.40,3,0.3181818181818181,1,0.8628236097733,155,159,4,500,475,25,62,0.0092
500,4,10,adaptive-a0.50,4,0.43181818181818177,1,0.6716018371435373,135,159,24,500,475,25,131,0.0089
500,4,10,fixed-1,1,0.09090909090909091,2,0.00883553925574429,497,159,338,500,475,25,4,0.0098
500,4,10,fixed-2,2,0.20454545454545453,2,0.5485420898419572,321,159,162,500,475,25,19,0.0101
500,4,10,fixed-3,3,0.3181818181818181,2,0.8311951878628514,148,159,11,500,475,25,65,0.0084
500,4,10,fixed-5,5,0.5454545454545454,2,0.42018633954036755,97,159,62,500,475,25,224,0.0071
500,4,10,fixed-7,7,0.7727272727272726,2,0.10866422410177917,49,159,110,500,475,25,367,0.0068
500,4,10,adaptive-a0.30,2,0.20454545454545453,2,0.5485420898419572,321,159,162,500,475,25,19,0.0071
500,4,10,adaptive-a0.40,3,0.3181818181818181,2,0.8311951878628514,148,159,11,500,475,25,65,0.0068
500,4,10,adaptive-a0.50,4,0.43181818181818177,2,0.661911872303839,128,159,31,500,475,25,133,0.0075
500,4,10,fixed-1,1,0.09090909090909091,3,0.005713834257307987,497,159,338,500,475,25,4,0.0099
500,4,10,fixed-2,2,0.20454545454545453,3,0.5333126908898546,324,159,165,500,475,25,19,0.0071
500,4,10,fixed-3,3,0.3181818181818181,3,0.8747408706570963,151,159,8,500,475,25,58,0.0068
500,4,10,fixed-5,5,0.5454545454545454,3,0.4017284348642251,93,159,66,500,475,25,229,0.0066
500,4,10,fixed-7,7,0.7727272727272726,3,0.07750201046613307,42,159,117,500,475,25,388,0.0079
500,4,10,adaptive-a0.30,2,0.20454545454545453,3,0.5333126908898546,324,159,165,500,475,25,19,0.0092
500,4,10,adaptive-a0.40,3,0.3181818181818181,3,0.8747408706570963,151,159,8,500,475,25,58,0.0096
500,4,10,adaptive-a0.50,4,0.43181818181818177,3,0.6642974582575223,127,159,32,500,475,25,136,0.0087
500,4,10,fixed-1,1,0.09090909090909091,4,0.01793835559341488,494,159,335,500,475,25,7,0.0095
500,4,10,fixed-2,2,0.20454545454545453,4,0.54431739797863,318,159,159,500,475,25,26,0.0096
500,4,10,fixed-3,3,0.3181818181818181,4,0.5210464763921588,291,159,132,500,475,25,62,0.0088
500,4,10,fixed-5,5,0.5454545454545454,4,0.4219106181536158,106,159,53,500,475,25,226,0.0085
500,4,10,fixed-7,7,0.7727272727272726,4,0.128600358586502,56,159,103,500,475,25,357,0.01
500,4,10,adaptive-a0.30,2,0.20454545454545453,4,0.54431739797863,318,159,159,500,475,25,26,0.0095
500,4,10,adaptive-a0.40,3,0.3181818181818181,4,0.5210464763921588,291,159,132,500,475,25,62,0.0068
500,4,10,adaptive-a0.50,4,0.43181818181818177,4,0.6521586286040594,130,159,29,500,475,25,139,0.0068
